#K o[k] d[k] q[k] b[k] f[k] p[k] tmax[k] s[k] penalty[k]
1 1 25 28 20 50 9000 26 0 30
2 1 25 7 20 50 9000 23 0 200
3 8 19 2 20 50 9000 23 0 200
4 6 21 50 20 50 9000 28 1 30
5 8 17 50 20 50 11000 20 0 200
6 3 22 50 20 50 9000 26 0 30
7 2 18 20 20 50 9000 25 0 30
8 5 25 24 20 50 9000 23 1 200
9 8 20 11 20 50 9000 31 1 30
10 3 23 50 20 50 11000 16 0 200
11 6 21 14 20 50 9000 21 0 200
12 9 17 42 20 50 9000 22 1 200
13 4 23 8 20 50 9000 21 0 200
14 3 22 16 20 50 9000 31 1 30
15 7 23 27 20 50 11000 18 1 200
16 9 25 50 20 50 9000 33 0 30
17 1 24 41 20 50 9000 21 1 200
18 6 18 10 20 50 9000 23 0 200
19 2 24 7 20 50 9000 23 0 200
20 8 21 50 20 50 11000 20 0 200
21 7 22 14 20 50 9000 22 1 200
22 6 18 27 20 50 9000 24 0 200
23 5 18 37 20 50 9000 25 0 30
24 4 20 16 20 50 9000 24 0 200
25 7 18 2 20 50 11000 18 1 200
26 7 24 50 20 50 9000 27 0 30
27 5 17 14 20 50 9000 22 1 200
28 8 19 26 20 50 9000 29 0 30
29 1 25 11 20 50 9000 21 0 200
30 4 20 17 20 50 11000 19 1 200
31 8 24 34 20 50 9000 21 0 200
32 1 22 11 20 50 9000 22 0 200
33 3 23 50 20 50 9000 23 0 200
34 1 24 15 20 50 9000 24 1 200
35 2 25 39 20 50 11000 15 0 200
36 4 24 8 20 50 9000 39 0 30
37 2 18 15 20 50 9000 22 1 200
38 4 18 32 20 50 9000 27 0 30
39 6 25 5 20 50 9000 29 0 30
40 2 23 50 20 50 11000 15 0 200
41 9 18 50 20 50 9000 21 0 200
42 6 17 47 20 50 9000 22 0 200
43 4 25 39 20 50 9000 31 0 30
44 1 17 24 20 50 9000 23 0 200
45 2 22 50 20 50 11000 19 1 200
46 7 23 34 20 50 9000 22 0 200
47 5 20 40 20 50 9000 22 0 200
48 1 24 37 20 50 9000 21 1 200
49 7 23 16 20 50 9000 24 0 200
50 4 20 47 20 50 11000 18 1 200
51 4 20 50 20 50 9000 22 0 200
52 2 22 50 20 50 9000 29 1 30
53 6 25 40 20 50 9000 23 0 200
54 5 22 50 20 50 9000 32 1 30
55 9 20 35 20 50 11000 15 0 200
56 6 22 7 20 50 9000 22 0 200
57 5 24 50 20 50 9000 21 0 200
58 1 24 23 20 50 9000 22 0 200
59 3 24 21 20 50 9000 31 0 30
60 9 19 50 20 50 11000 15 0 200
61 8 18 50 20 50 9000 34 0 30
62 8 21 50 20 50 9000 27 0 30
63 5 23 13 20 50 9000 21 0 200
64 6 18 41 20 50 9000 22 0 200
65 7 20 27 20 50 11000 16 0 200
66 6 24 12 20 50 9000 25 1 30
67 3 25 37 20 50 9000 26 1 30
68 3 23 21 20 50 9000 27 1 30
69 8 18 26 20 50 9000 23 0 200
70 1 22 29 20 50 11000 19 1 200
71 1 21 47 20 50 9000 27 0 30
72 2 25 50 20 50 9000 24 0 200
73 4 18 36 20 50 9000 28 0 30
74 2 25 11 20 50 9000 26 0 30
75 6 20 13 20 50 11000 18 1 200
76 4 24 50 20 50 9000 22 1 200
77 3 18 7 20 50 9000 33 0 30
78 8 20 44 20 50 9000 21 0 200
79 9 25 50 20 50 9000 24 0 200
80 9 17 42 20 50 11000 17 0 200
81 5 18 50 20 50 9000 22 0 200
82 6 22 15 20 50 9000 34 0 30
83 1 17 50 20 50 9000 26 0 30
84 5 20 22 20 50 9000 22 0 200
85 7 18 45 20 50 11000 19 0 200
86 5 20 41 20 50 9000 39 0 30
87 2 25 37 20 50 9000 26 1 30
88 7 19 9 20 50 9000 23 0 200
89 3 17 38 20 50 9000 21 0 200
90 1 21 36 20 50 11000 18 0 200
91 2 24 50 20 50 9000 30 1 30
92 4 20 13 20 50 9000 24 0 200
93 3 25 35 20 50 9000 31 0 30
94 2 19 42 20 50 9000 25 0 30
95 6 17 21 20 50 11000 15 1 200
96 3 18 5 20 50 9000 23 0 200
97 4 21 11 20 50 9000 26 0 30
98 8 21 26 20 50 9000 24 0 200
99 9 24 39 20 50 9000 34 0 30
100 7 24 35 20 50 11000 17 0 200
101 8 24 6 20 50 9000 21 0 200
102 9 21 50 20 50 9000 26 0 30
103 4 19 18 20 50 9000 21 0 200
104 1 18 38 20 50 9000 34 0 30
105 1 22 50 20 50 11000 16 0 200
106 7 17 16 20 50 9000 24 0 200
107 5 25 16 20 50 9000 27 0 30
108 9 22 14 20 50 9000 31 0 30
109 8 18 50 20 50 9000 23 0 200
110 8 18 47 20 50 11000 18 0 200
111 8 23 43 20 50 9000 24 1 200
112 5 17 30 20 50 9000 21 0 200
113 4 22 50 20 50 9000 21 1 200
114 4 17 50 20 50 9000 26 0 30
115 8 22 49 20 50 11000 15 0 200
116 4 25 50 20 50 9000 38 0 30
117 1 21 50 20 50 9000 22 0 200
118 3 22 26 20 50 9000 28 0 30
119 6 23 26 20 50 9000 21 0 200
120 3 22 47 20 50 11000 18 1 200
121 4 19 30 20 50 9000 21 1 200
122 1 20 50 20 50 9000 32 1 30
123 7 25 12 20 50 9000 24 0 200
124 3 19 27 20 50 9000 33 0 30
125 5 23 36 20 50 11000 20 0 200
126 2 22 24 20 50 9000 21 0 200
127 5 18 41 20 50 9000 21 0 200
128 4 22 35 20 50 9000 27 0 30
129 8 18 46 20 50 9000 37 0 30
130 5 23 35 20 50 11000 20 1 200
131 9 21 9 20 50 9000 37 0 30
132 8 21 50 20 50 9000 23 0 200
133 2 24 25 20 50 9000 23 1 200
134 7 18 39 20 50 9000 21 0 200
135 4 19 12 20 50 11000 16 0 200
136 2 17 3 20 50 9000 21 0 200
137 8 20 13 20 50 9000 25 0 30
138 1 25 6 20 50 9000 33 0 30
139 3 24 11 20 50 9000 25 0 30
140 4 24 3 20 50 11000 17 0 200
141 4 19 50 20 50 9000 22 0 200
142 4 22 17 20 50 9000 23 0 200
143 9 21 50 20 50 9000 27 1 30
144 2 19 13 20 50 9000 21 1 200
145 7 21 50 20 50 11000 15 1 200
146 8 24 50 20 50 9000 34 0 30
147 7 18 36 20 50 9000 25 0 30
148 5 24 50 20 50 9000 24 0 200
149 4 20 25 20 50 9000 23 0 200
150 7 23 6 20 50 11000 17 1 200
151 7 18 11 20 50 9000 37 0 30
152 7 25 22 20 50 9000 34 0 30
153 7 25 9 20 50 9000 25 0 30
154 5 22 21 20 50 9000 21 0 200
155 8 20 50 20 50 11000 17 0 200
156 7 25 42 20 50 9000 29 0 30
157 8 22 37 20 50 9000 22 0 200
158 7 24 50 20 50 9000 37 0 30
159 3 20 25 20 50 9000 31 1 30
160 1 20 13 20 50 11000 17 1 200
161 9 18 50 20 50 9000 26 0 30
162 3 25 33 20 50 9000 22 1 200
163 3 19 50 20 50 9000 25 0 30
164 4 18 35 20 50 9000 21 0 200
165 8 23 50 20 50 11000 20 0 200
166 7 23 9 20 50 9000 31 0 30
167 9 20 44 20 50 9000 25 1 30
168 7 21 28 20 50 9000 24 0 200
169 5 22 49 20 50 9000 22 0 200
170 8 23 46 20 50 11000 20 0 200
171 5 18 38 20 50 9000 24 0 200
172 1 22 31 20 50 9000 24 0 200
173 3 25 50 20 50 9000 22 0 200
174 9 21 6 20 50 9000 27 1 30
175 7 22 13 20 50 11000 16 0 200
176 9 20 28 20 50 9000 21 0 200
177 9 18 44 20 50 9000 28 1 30
178 6 18 1 20 50 9000 21 1 200
179 6 20 34 20 50 9000 38 0 30
180 3 20 20 20 50 11000 18 0 200
181 3 23 38 20 50 9000 27 0 30
182 4 23 40 20 50 9000 34 0 30
183 8 19 16 20 50 9000 27 0 30
184 6 25 50 20 50 9000 26 0 30
185 3 22 40 20 50 11000 16 0 200
186 8 23 18 20 50 9000 26 0 30
187 7 18 25 20 50 9000 23 0 200
188 8 24 50 20 50 9000 25 1 30
189 8 22 50 20 50 9000 21 0 200
190 3 20 50 20 50 11000 17 1 200
191 3 22 13 20 50 9000 29 0 30
192 3 17 14 20 50 9000 33 1 30
193 3 18 23 20 50 9000 21 0 200
194 4 19 50 20 50 9000 24 0 200
195 2 22 49 20 50 11000 18 0 200
196 6 18 50 20 50 9000 32 0 30
197 7 17 15 20 50 9000 28 1 30
198 2 17 50 20 50 9000 22 0 200
199 8 20 45 20 50 9000 21 0 200
200 4 19 28 20 50 11000 20 0 200
201 8 23 50 20 50 9000 30 1 30
202 4 24 24 20 50 9000 22 0 200
203 3 21 22 20 50 9000 29 0 30
204 6 18 6 20 50 9000 27 0 30
205 7 22 25 20 50 11000 16 0 200
206 4 22 40 20 50 9000 21 0 200
207 6 17 15 20 50 9000 21 1 200
208 6 18 37 20 50 9000 26 0 30
209 7 20 33 20 50 9000 23 0 200
210 5 17 25 20 50 11000 18 0 200
211 6 21 19 20 50 9000 27 1 30
212 6 24 46 20 50 9000 21 0 200
213 4 22 48 20 50 9000 33 0 30
214 4 17 50 20 50 9000 29 0 30
215 4 24 21 20 50 11000 18 0 200
216 3 21 6 20 50 9000 29 0 30
217 1 22 19 20 50 9000 22 0 200
218 9 24 28 20 50 9000 22 1 200
219 8 22 11 20 50 9000 22 1 200
220 7 25 33 20 50 11000 20 0 200
221 7 24 44 20 50 9000 22 0 200
222 8 24 50 20 50 9000 34 0 30
223 2 20 29 20 50 9000 22 0 200
224 3 20 22 20 50 9000 26 0 30
225 5 19 50 20 50 11000 17 0 200
226 2 25 21 20 50 9000 21 1 200
227 7 18 50 20 50 9000 21 1 200
228 4 18 42 20 50 9000 30 0 30
229 4 22 46 20 50 9000 30 0 30
230 6 24 24 20 50 11000 15 0 200
231 8 19 8 20 50 9000 21 0 200
232 1 18 28 20 50 9000 29 0 30
233 4 17 25 20 50 9000 21 0 200
234 8 24 30 20 50 9000 25 0 30
235 6 25 8 20 50 11000 15 0 200
236 2 17 50 20 50 9000 22 0 200
237 5 18 23 20 50 9000 30 0 30
238 7 19 32 20 50 9000 31 1 30
239 2 23 50 20 50 9000 27 0 30
240 2 22 50 20 50 11000 16 0 200
241 4 21 50 20 50 9000 32 0 30
242 8 23 46 20 50 9000 22 0 200
243 6 23 30 20 50 9000 22 0 200
244 6 17 50 20 50 9000 36 0 30
245 3 19 50 20 50 11000 16 0 200
246 5 19 41 20 50 9000 37 0 30
247 3 22 30 20 50 9000 33 0 30
248 9 25 22 20 50 9000 23 0 200
249 9 19 44 20 50 9000 26 0 30
250 8 25 35 20 50 11000 18 1 200
251 6 24 5 20 50 9000 21 0 200
252 7 20 15 20 50 9000 28 0 30
253 3 22 41 20 50 9000 26 0 30
254 4 25 48 20 50 9000 26 0 30
255 5 22 16 20 50 11000 19 0 200
256 6 23 50 20 50 9000 26 0 30
257 2 25 26 20 50 9000 23 0 200
258 1 19 11 20 50 9000 26 0 30
259 2 19 31 20 50 9000 28 0 30
260 6 23 43 20 50 11000 19 0 200
261 5 22 50 20 50 9000 24 1 200
262 3 20 35 20 50 9000 24 0 200
263 5 22 25 20 50 9000 28 0 30
264 7 23 13 20 50 9000 38 0 30
265 2 22 34 20 50 11000 19 0 200
266 2 22 46 20 50 9000 24 1 200
267 5 18 34 20 50 9000 25 0 30
268 8 19 24 20 50 9000 23 0 200
269 3 22 50 20 50 9000 23 0 200
270 3 22 50 20 50 11000 16 1 200
271 4 25 50 20 50 9000 25 0 30
272 4 20 16 20 50 9000 24 0 200
273 9 23 32 20 50 9000 30 0 30
274 3 18 50 20 50 9000 29 0 30
275 2 22 50 20 50 11000 17 0 200
276 6 24 24 20 50 9000 21 0 200
277 5 22 17 20 50 9000 33 0 30
278 3 24 25 20 50 9000 23 0 200
279 3 23 10 20 50 9000 27 0 30
280 1 25 26 20 50 11000 18 0 200
281 4 21 50 20 50 9000 32 0 30
282 2 21 50 20 50 9000 28 1 30
283 2 19 44 20 50 9000 26 0 30
284 3 22 50 20 50 9000 23 0 200
285 2 25 8 20 50 11000 16 1 200
286 3 18 16 20 50 9000 21 1 200
